usage_frequency,subscription_type,login_activity,support_tickets,payment_history,avg_session_minutes,monthly_spend,tenure_months,region,churn
2.02,quarterly,28.83,1,delayed,12.88,82.79,9,APAC,0
27.64,monthly,28.1,2,failed,10.96,50.0,3,,1
13.43,annual,58.83,0,on_time,18.9,78.12,5,APAC,0
,quarterly,33.29,2,on_time,16.96,89.64,5,NA,0
25.51,monthly,25.65,2,failed,27.19,57.08,27,NA,0
22.85,annual,24.8,1,on_time,21.07,77.38,7,LATAM,1
17.91,quarterly,18.52,2,delayed,3.07,81.26,22,,0
,quarterly,23.44,3,on_time,19.83,71.1,5,MEA,0
7.92,monthly,,0,on_time,19.12,71.36,13,MEA,0
15.43,monthly,0.39,1,,24.96,96.54,16,APAC,0
25.06,monthly,24.17,2,,13.81,84.79,19,LATAM,0
11.26,annual,23.11,3,chargeback,21.58,99.73,2,EU,0
9.01,quarterly,41.29,3,on_time,12.87,54.98,19,APAC,0
16.55,annual,20.55,2,delayed,16.74,70.87,21,MEA,0
16.71,monthly,13.58,1,on_time,8.67,66.8,6,APAC,0
20.53,monthly,24.95,1,,6.75,85.69,20,EU,0
6.35,monthly,22.82,1,on_time,20.22,91.54,37,EU,0
1.0,monthly,20.56,2,on_time,15.02,50.91,20,NA,0
22.45,annual,7.93,1,on_time,7.32,90.54,1,EU,0
8.42,quarterly,20.28,1,on_time,19.89,144.56,19,LATAM,0
11.73,quarterly,15.63,3,chargeback,2.0,88.78,5,APAC,1
1.0,monthly,19.62,3,chargeback,,59.7,16,NA,0
23.16,annual,30.05,0,on_time,5.04,68.24,20,APAC,0
18.45,annual,14.58,2,on_time,22.2,67.43,16,,0
18.17,quarterly,19.57,0,on_time,12.4,65.32,23,APAC,0
18.12,monthly,27.95,1,on_time,15.47,104.24,7,EU,0
1.58,monthly,19.04,1,on_time,16.83,32.95,20,EU,0
9.1,monthly,50.7,4,on_time,19.85,91.63,10,APAC,0
12.84,monthly,24.74,1,on_time,,120.13,20,APAC,1
10.76,quarterly,8.34,1,failed,19.81,118.33,5,APAC,1
14.1,quarterly,,3,on_time,,112.69,8,EU,1
17.72,annual,11.66,2,on_time,20.12,58.97,22,,0
23.05,monthly,12.92,1,on_time,11.07,124.81,13,NA,1
5.64,monthly,27.91,1,on_time,12.59,94.27,7,EU,0
15.94,monthly,9.83,2,on_time,5.78,123.85,23,APAC,1
20.98,monthly,18.36,0,on_time,25.06,114.28,8,APAC,0
9.53,monthly,,2,on_time,9.04,92.8,18,LATAM,0
14.65,monthly,16.28,2,delayed,23.46,77.15,8,NA,1
19.27,monthly,29.39,2,failed,,150.2,37,LATAM,0
16.08,quarterly,3.49,2,failed,,34.16,15,NA,1
20.72,monthly,17.92,2,on_time,17.2,79.14,13,APAC,1
16.66,annual,12.25,2,on_time,8.61,40.18,26,LATAM,0
13.82,quarterly,25.3,2,on_time,24.63,87.28,8,APAC,0
7.79,monthly,10.62,0,on_time,12.83,93.99,22,LATAM,0
17.73,annual,44.77,0,failed,21.08,59.4,7,LATAM,0
16.7,quarterly,3.97,1,failed,11.74,68.1,12,NA,0
9.05,monthly,34.49,4,on_time,6.41,47.02,9,MEA,0
20.07,monthly,31.66,1,on_time,26.9,96.65,5,MEA,1
24.88,quarterly,25.41,1,on_time,11.38,70.94,5,EU,0
11.38,monthly,22.6,0,on_time,17.77,95.83,9,NA,0
10.91,monthly,42.4,4,,2.0,69.33,21,NA,0
10.65,monthly,49.18,1,on_time,14.57,90.92,62,LATAM,0
4.25,quarterly,19.72,2,on_time,18.62,104.71,5,MEA,1
30.03,quarterly,,3,on_time,15.86,97.4,12,LATAM,1
12.86,quarterly,15.92,5,on_time,14.41,89.9,10,EU,0
9.99,quarterly,9.14,2,on_time,13.73,81.1,21,NA,0
8.11,monthly,27.09,1,delayed,20.22,97.36,31,EU,0
13.28,monthly,24.75,3,,7.24,67.12,15,EU,0
11.13,monthly,4.29,1,on_time,13.58,78.52,5,NA,1
26.07,monthly,27.02,0,on_time,23.61,93.7,10,,0
,quarterly,25.11,2,on_time,6.1,127.04,19,NA,0
5.23,monthly,15.39,1,on_time,,66.86,11,NA,1
19.86,monthly,,2,on_time,8.38,59.21,6,APAC,0
15.25,quarterly,26.66,1,on_time,16.81,91.99,13,EU,0
14.44,quarterly,39.7,3,on_time,,117.8,11,EU,0
19.92,monthly,26.38,3,delayed,9.34,106.73,16,APAC,0
16.96,monthly,30.59,3,delayed,15.15,84.61,22,MEA,0
15.67,monthly,12.85,2,failed,15.39,118.32,30,APAC,0
,monthly,17.44,3,on_time,11.34,33.32,41,APAC,1
4.32,monthly,28.69,3,delayed,,112.32,52,APAC,0
11.1,monthly,7.06,1,on_time,11.11,75.2,4,APAC,0
8.41,monthly,24.28,2,on_time,2.0,101.64,17,APAC,0
